#   lamda     c0    c1      c2
 197.0743    3.4436E+01    9.3199E-03    1.5042E-04
 197.0843    3.4377E+01    9.3592E-03    1.7425E-04
 197.0943    3.4379E+01    9.2558E-03    1.6337E-04
 197.1043    3.4314E+01    8.5653E-03    1.7531E-04
 197.1143    3.4291E+01    8.5596E-03    1.8019E-04
 197.1243    3.4281E+01    6.7757E-03    1.3663E-04
 197.1343    3.4244E+01    4.9420E-03    1.1089E-04
 197.1443    3.4213E+01    4.1392E-03    1.0875E-04
 197.1543    3.4205E+01    3.6466E-03    9.2733E-05
 197.1643    3.4171E+01    4.3151E-03    1.1526E-04
 197.1743    3.4188E+01    4.9551E-03    1.1859E-04
 197.1843    3.4161E+01    5.4126E-03    1.3884E-04
 197.1943    3.4179E+01    5.5131E-03    1.3191E-04
 197.2043    3.4206E+01    7.5329E-03    1.4922E-04
 197.2143    3.4210E+01    8.0049E-03    1.5141E-04
 197.2243    3.4217E+01    7.9565E-03    1.4137E-04
 197.2343    3.4206E+01    9.3370E-03    1.5554E-04
 197.2443    3.4188E+01    9.3887E-03    1.4345E-04
 197.2543    3.4161E+01    9.4843E-03    1.4507E-04
 197.2643    3.4147E+01    9.9566E-03    1.5259E-04
 197.2743    3.4132E+01    1.0532E-02    1.6306E-04
 197.2843    3.4108E+01    1.0447E-02    1.6788E-04
 197.2943    3.4093E+01    1.0037E-02    1.6242E-04
 197.3043    3.4088E+01    1.0597E-02    1.7291E-04
 197.3143    3.4077E+01    1.1594E-02    1.8981E-04
 197.3243    3.4082E+01    1.1021E-02    1.6392E-04
 197.3343    3.4047E+01    1.0279E-02    1.5654E-04
 197.3443    3.4054E+01    9.9928E-03    1.3659E-04
 197.3543    3.4028E+01    9.6875E-03    1.3105E-04
 197.3644    3.4010E+01    8.0717E-03    1.0663E-04
 197.3744    3.3987E+01    7.9612E-03    1.0400E-04
 197.3844    3.3991E+01    9.6782E-03    1.2541E-04
 197.3944    3.3983E+01    8.8093E-03    1.0642E-04
 197.4044    3.3942E+01    8.9879E-03    1.1451E-04
 197.4144    3.3913E+01    9.3687E-03    1.1962E-04
 197.4244    3.3937E+01    1.0434E-02    1.2609E-04
 197.4344    3.3917E+01    1.0269E-02    1.3017E-04
 197.4444    3.3942E+01    1.0988E-02    1.4010E-04
 197.4544    3.3940E+01    1.0924E-02    1.3651E-04
 197.4644    3.3915E+01    9.3545E-03    1.0972E-04
 197.4744    3.3889E+01    8.5868E-03    1.0055E-04
 197.4844    3.3847E+01    8.8587E-03    1.0582E-04
 197.4944    3.3803E+01    8.8319E-03    1.1521E-04
 197.5044    3.3796E+01    8.9727E-03    1.1789E-04
 197.5144    3.3772E+01    9.5272E-03    1.3132E-04
